Time,Focus,Break,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.154247,0.1098167,0.109816739,0.11723619,0.1791603,0.1791603,0.196614,0.06945307,0.0740618,0.4121246,0.3976353,0.2095835,0.2163034,0.2630692,0.2634485
0.155891,0.1107124,0.110712375,0.11738831,0.1791603,0.1791603,0.196614,0.06973571,0.07410983,0.4121246,0.3976353,0.2095835,0.2163034,0.2630692,0.2634485
0.156019,0.1107124,0.110712375,0.11738831,0.1791603,0.1791603,0.196614,0.06973571,0.07410983,0.4114637,0.3940134,0.2095835,0.2163034,0.2630692,0.2634485
0.156137,0.1100926,0.110092588,0.116884635,0.1791603,0.1791603,0.196614,0.06973571,0.07410983,0.4114637,0.3940134,0.2101727,0.216769,0.2630692,0.2634485
0.15626,0.1100926,0.110092588,0.116884635,0.1791603,0.1791603,0.196614,0.06973571,0.07410983,0.4114637,0.3940134,0.2101727,0.216769,0.2630895,0.2634994
0.156374,0.1100926,0.110092588,0.116884635,0.1800861,0.1800861,0.2004013,0.06973571,0.07410983,0.4114637,0.3940134,0.2101727,0.216769,0.2630895,0.2634994
0.156481,0.111128,0.111128049,0.117729213,0.1800861,0.1800861,0.2004013,0.07006289,0.0743771,0.4114637,0.3940134,0.2101727,0.216769,0.2630895,0.2634994
0.156594,0.111128,0.111128049,0.117729213,0.1800861,0.1800861,0.2004013,0.07006289,0.0743771,0.410406,0.3897966,0.2101727,0.216769,0.2630895,0.2634994
0.156716,0.1105885,0.110588534,0.118587114,0.1800861,0.1800861,0.2004013,0.07006289,0.0743771,0.410406,0.3897966,0.2106847,0.2159835,0.2630895,0.2634994
0.156825,0.1105885,0.110588534,0.118587114,0.1800861,0.1800861,0.2004013,0.07006289,0.0743771,0.410406,0.3897966,0.2106847,0.2159835,0.2631181,0.2635828
0.156933,0.1105885,0.110588534,0.118587114,0.181288,0.181288,0.2015294,0.07006289,0.0743771,0.410406,0.3897966,0.2106847,0.2159835,0.2631181,0.2635828
0.157037,0.1118107,0.111810664,0.12084788,0.181288,0.181288,0.2015294,0.07044896,0.07508272,0.410406,0.3897966,0.2106847,0.2159835,0.2631181,0.2635828
0.157152,0.1118107,0.111810664,0.12084788,0.181288,0.181288,0.2015294,0.07044896,0.07508272,0.4090011,0.3861519,0.2106847,0.2159835,0.2631181,0.2635828
0.15726,0.1112821,0.111282073,0.120828256,0.181288,0.181288,0.2015294,0.07044896,0.07508272,0.4090011,0.3861519,0.2111845,0.216001,0.2631181,0.2635828
0.157367,0.1112821,0.111282073,0.120828256,0.181288,0.181288,0.2015294,0.07044896,0.07508272,0.4090011,0.3861519,0.2111845,0.216001,0.2631567,0.2637124
0.256625,0.1112821,0.111282073,0.120828256,0.183065,0.183065,0.2083273,0.07044896,0.07508272,0.4090011,0.3861519,0.2111845,0.216001,0.2631567,0.2637124
0.256784,0.1126231,0.112623051,0.122390629,0.183065,0.183065,0.2083273,0.07087216,0.07556659,0.4090011,0.3861519,0.2111845,0.216001,0.2631567,0.2637124
0.256887,0.1126231,0.112623051,0.122390629,0.183065,0.183065,0.2083273,0.07087216,0.07556659,0.4071721,0.3811942,0.2111845,0.216001,0.2631567,0.2637124
0.256977,0.1122111,0.112211148,0.124466448,0.183065,0.183065,0.2083273,0.07087216,0.07556659,0.4071721,0.3811942,0.2115717,0.2141922,0.2631567,0.2637124
0.257062,0.1122111,0.112211148,0.124466448,0.183065,0.183065,0.2083273,0.07087216,0.07556659,0.4071721,0.3811942,0.2115717,0.2141922,0.2632029,0.2637973
0.34301,0.1122111,0.112211148,0.124466448,0.1853396,0.1853396,0.2138202,0.07087216,0.07556659,0.4071721,0.3811942,0.2115717,0.2141922,0.2632029,0.2637973
0.343275,0.1136151,0.113615134,0.125178598,0.1853396,0.1853396,0.2138202,0.07131416,0.07578246,0.4071721,0.3811942,0.2115717,0.2141922,0.2632029,0.2637973
0.343487,0.1136151,0.113615134,0.125178598,0.1853396,0.1853396,0.2138202,0.07131416,0.07578246,0.405003,0.3781714,0.2115717,0.2141922,0.2632029,0.2637973
0.348505,0.1133286,0.113328645,0.127848097,0.1853396,0.1853396,0.2138202,0.07131416,0.07578246,0.405003,0.3781714,0.211839,0.2119442,0.2632029,0.2637973
0.348779,0.1133286,0.113328645,0.127848097,0.1853396,0.1853396,0.2138202,0.07131416,0.07578246,0.405003,0.3781714,0.211839,0.2119442,0.2632542,0.2638306
0.492945,0.1133286,0.113328645,0.127848097,0.1878686,0.1878686,0.2170776,0.07131416,0.07578246,0.405003,0.3781714,0.211839,0.2119442,0.2632542,0.2638306
0.493212,0.1147662,0.114766155,0.127694142,0.1878686,0.1878686,0.2170776,0.07176502,0.07573682,0.405003,0.3781714,0.211839,0.2119442,0.2632542,0.2638306
0.493435,0.1147662,0.114766155,0.127694142,0.1878686,0.1878686,0.2170776,0.07176502,0.07573682,0.4026572,0.3770384,0.211839,0.2119442,0.2632542,0.2638306
0.493655,0.1145875,0.114587517,0.130224892,0.1878686,0.1878686,0.2170776,0.07176502,0.07573682,0.4026572,0.3770384,0.2120041,0.2098747,0.2632542,0.2638306
0.493859,0.1145875,0.114587517,0.130224892,0.1878686,0.1878686,0.2170776,0.07176502,0.07573682,0.4026572,0.3770384,0.2120041,0.2098747,0.2633075,0.2638168
0.577256,0.1145875,0.114587517,0.130224892,0.1903872,0.1903872,0.2157175,0.07176502,0.07573682,0.4026572,0.3770384,0.2120041,0.2098747,0.2633075,0.2638168
0.577539,0.1159335,0.1159335,0.12758011,0.1903872,0.1903872,0.2157175,0.07218528,0.07496379,0.4026572,0.3770384,0.2120041,0.2098747,0.2633075,0.2638168
0.577771,0.1159335,0.1159335,0.12758011,0.1903872,0.1903872,0.2157175,0.07218528,0.07496379,0.4004473,0.380925,0.2120041,0.2098747,0.2633075,0.2638168
0.577993,0.1160305,0.116030497,0.132418066,0.1903872,0.1903872,0.2157175,0.07218528,0.07496379,0.4004473,0.380925,0.2119154,0.2060051,0.2633075,0.2638168
0.578207,0.1160305,0.116030497,0.132418066,0.1903872,0.1903872,0.2157175,0.07218528,0.07496379,0.4004473,0.380925,0.2119154,0.2060051,0.2633561,0.2637056
0.661555,0.1160305,0.116030497,0.132418066,0.192606,0.192606,0.2103684,0.07218528,0.07496379,0.4004473,0.380925,0.2119154,0.2060051,0.2633561,0.2637056
0.661871,0.1172058,0.117205818,0.128395606,0.192606,0.192606,0.2103684,0.07254995,0.07381643,0.4004473,0.380925,0.2119154,0.2060051,0.2633561,0.2637056
0.66211,0.1172058,0.117205818,0.128395606,0.192606,0.192606,0.2103684,0.07254995,0.07381643,0.3987278,0.389553,0.2119154,0.2060051,0.2633561,0.2637056
0.662332,0.1177759,0.117775944,0.135283135,0.192606,0.192606,0.2103684,0.07254995,0.07381643,0.3987278,0.389553,0.2114019,0.2006925,0.2633561,0.2637056
0.662545,0.1177759,0.117775944,0.135283135,0.192606,0.192606,0.2103684,0.07254995,0.07381643,0.3987278,0.389553,0.2114019,0.2006925,0.2633969,0.263557
0.777205,0.1177759,0.117775944,0.135283135,0.194667,0.194667,0.2084401,0.07254995,0.07381643,0.3987278,0.389553,0.2114019,0.2006925,0.2633969,0.263557
