Time,Focus,FocusReal,Focus Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.145207,0.7028865,0.702886529,1.352497145,0.2523903,0.2523903,0.3322185,0.1462193,0.1890492,0.2930162,0.2019051,0.1744063,0.1625574,0.1435383,0.1790427
0.146858,0.7520852,0.7520852,1.3960128,0.2523903,0.2523903,0.3322185,0.1512501,0.1920664,0.2930162,0.2019051,0.1744063,0.1625574,0.1435383,0.1790427
0.146994,0.7520852,0.7520852,1.3960128,0.2523903,0.2523903,0.3322185,0.1512501,0.1920664,0.2830476,0.1951337,0.1744063,0.1625574,0.1435383,0.1790427
0.147121,0.7623979,0.762397903,1.35073431,0.2523903,0.2523903,0.3322185,0.1512501,0.1920664,0.2830476,0.1951337,0.1732227,0.1652595,0.1435383,0.1790427
0.147237,0.7623979,0.762397903,1.35073431,0.2523903,0.2523903,0.3322185,0.1512501,0.1920664,0.2830476,0.1951337,0.1732227,0.1652595,0.1440701,0.1790826
0.147352,0.7623979,0.762397903,1.35073431,0.2610729,0.2610729,0.3389435,0.1512501,0.1920664,0.2830476,0.1951337,0.1732227,0.1652595,0.1440701,0.1790826
0.147466,0.8154233,0.815423255,1.385648658,0.2610729,0.2610729,0.3389435,0.1564215,0.1945329,0.2830476,0.1951337,0.1732227,0.1652595,0.1440701,0.1790826
0.147581,0.8154233,0.815423255,1.385648658,0.2610729,0.2610729,0.3389435,0.1564215,0.1945329,0.2726696,0.1877224,0.1732227,0.1652595,0.1440701,0.1790826
0.147703,0.8254352,0.825435162,1.365873725,0.2610729,0.2610729,0.3389435,0.1564215,0.1945329,0.2726696,0.1877224,0.172169,0.1664515,0.1440701,0.1790826
0.147818,0.8254352,0.825435162,1.365873725,0.2610729,0.2610729,0.3389435,0.1564215,0.1945329,0.2726696,0.1877224,0.172169,0.1664515,0.1446152,0.1796027
0.147929,0.8254352,0.825435162,1.365873725,0.2705078,0.2705078,0.3534128,0.1564215,0.1945329,0.2726696,0.1877224,0.172169,0.1664515,0.1446152,0.1796027
0.148043,0.881838,0.881838037,1.388495426,0.2705078,0.2705078,0.3534128,0.1616774,0.1961372,0.2726696,0.1877224,0.172169,0.1664515,0.1446152,0.1796027
0.148161,0.881838,0.881838037,1.388495426,0.2705078,0.2705078,0.3534128,0.1616774,0.1961372,0.261743,0.1774757,0.172169,0.1664515,0.1446152,0.1796027
0.148272,0.893122,0.893122043,1.421353179,0.2705078,0.2705078,0.3534128,0.1616774,0.1961372,0.261743,0.1774757,0.1710779,0.1645163,0.1446152,0.1796027
0.148385,0.893122,0.893122043,1.421353179,0.2705078,0.2705078,0.3534128,0.1616774,0.1961372,0.261743,0.1774757,0.1710779,0.1645163,0.1454609,0.1855656
0.238862,0.893122,0.893122043,1.421353179,0.2806537,0.2806537,0.3715118,0.1616774,0.1961372,0.261743,0.1774757,0.1710779,0.1645163,0.1454609,0.1855656
0.239134,0.9525952,0.95259526,1.445070137,0.2806537,0.2806537,0.3715118,0.1669737,0.1977668,0.261743,0.1774757,0.1710779,0.1645163,0.1454609,0.1855656
