Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.167707,1.291837,1.291836652,4.240693218,0.226874,0.226874,0.2485179,0.1418611,0.2560626,0.3390796,0.1770607,0.1248129,0.1243448,0.2134702,0.2285974
0.170168,1.462774,1.46277395,4.584004032,0.226874,0.226874,0.2485179,0.1509552,0.2662258,0.3390796,0.1770607,0.1248129,0.1243448,0.2134702,0.2285974
0.170388,1.462774,1.46277395,4.584004032,0.226874,0.226874,0.2485179,0.1509552,0.2662258,0.3239156,0.1691435,0.1248129,0.1243448,0.2134702,0.2285974
0.170547,1.443156,1.443155814,4.065227251,0.226874,0.226874,0.2485179,0.1509552,0.2662258,0.3239156,0.1691435,0.1256584,0.1320407,0.2134702,0.2285974
0.170688,1.443156,1.443155814,4.065227251,0.226874,0.226874,0.2485179,0.1509552,0.2662258,0.3239156,0.1691435,0.1256584,0.1320407,0.2160345,0.2322106
0.170828,1.443156,1.443155814,4.065227251,0.2339936,0.2339936,0.2387231,0.1509552,0.2662258,0.3239156,0.1691435,0.1256584,0.1320407,0.2160345,0.2322106
0.170977,1.63204,1.632039864,4.288362229,0.2339936,0.2339936,0.2387231,0.1605303,0.2734346,0.3239156,0.1691435,0.1256584,0.1320407,0.2160345,0.2322106
0.171121,1.63204,1.632039864,4.288362229,0.2339936,0.2339936,0.2387231,0.1605303,0.2734346,0.3084107,0.163869,0.1256584,0.1320407,0.2160345,0.2322106
0.171267,1.597794,1.597793934,3.667223427,0.2339936,0.2339936,0.2387231,0.1605303,0.2734346,0.3084107,0.163869,0.1269979,0.1427857,0.2160345,0.2322106
0.171414,1.597794,1.597793934,3.667223427,0.2339936,0.2339936,0.2387231,0.1605303,0.2734346,0.3084107,0.163869,0.1269979,0.1427857,0.2182965,0.2230115
0.171548,1.597794,1.597793934,3.667223427,0.2399481,0.2399481,0.2168212,0.1605303,0.2734346,0.3084107,0.163869,0.1269979,0.1427857,0.2182965,0.2230115
0.171693,1.81563,1.815629754,4.16338529,0.2399481,0.2399481,0.2168212,0.1711237,0.2913454,0.3084107,0.163869,0.1269979,0.1427857,0.2182965,0.2230115
0.171841,1.81563,1.815629754,4.16338529,0.2399481,0.2399481,0.2168212,0.1711237,0.2913454,0.2923249,0.1541374,0.1269979,0.1427857,0.2182965,0.2230115
0.171987,1.747201,1.747201285,3.146702812,0.2399481,0.2399481,0.2168212,0.1711237,0.2913454,0.2923249,0.1541374,0.1294609,0.1642405,0.2182965,0.2230115
