Time,Focus,FocusReal,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal,
0.001943,0.05839986,0.058399859,0.022019503,0.243312,0.243312,0.2040502,0.04562839,0.02870784,0.3734684,0.3957767,0.1888118,0.1934625,0.2902714,0.2937666
0.002162,0.05515133,0.055151329,0.020020633,0.243312,0.243312,0.2040502,0.04434118,0.02737384,0.3734684,0.3957767,0.1888118,0.1934625,0.2902714,0.2937666
0.00237,0.05515133,0.055151329,0.020020633,0.243312,0.243312,0.2040502,0.04434118,0.02737384,0.3749841,0.4004906,0.1888118,0.1934625,0.2902714,0.2937666
0.002574,0.05543422,0.055434217,0.019469774,0.243312,0.243312,0.2040502,0.04434118,0.02737384,0.3749841,0.4004906,0.1883295,0.1961802,0.2902714,0.2937666
0.002772,0.05543422,0.055434217,0.019469774,0.243312,0.243312,0.2040502,0.04434118,0.02737384,0.3749841,0.4004906,0.1883295,0.1961802,0.2928084,0.2936599
0.083337,0.05543422,0.055434217,0.019469774,0.24048,0.24048,0.1946611,0.04434118,0.02737384,0.3749841,0.4004906,0.1883295,0.1961802,0.2928084,0.2936599
0.083606,0.05223057,0.052230571,0.018052457,0.24048,0.24048,0.1946611,0.04304083,0.02635867,0.3749841,0.4004906,0.1883295,0.1961802,0.2928084,0.2936599
0.083828,0.05223057,0.052230571,0.018052457,0.24048,0.24048,0.1946611,0.04304083,0.02635867,0.3769374,0.4057392,0.1883295,0.1961802,0.2928084,0.2936599
0.084049,0.05217959,0.052179587,0.01757777,0.24048,0.24048,0.1946611,0.04304083,0.02635867,0.3769374,0.4057392,0.1884214,0.1988115,0.2928084,0.2936599
0.084259,0.05217959,0.052179587,0.01757777,0.24048,0.24048,0.1946611,0.04304083,0.02635867,0.3769374,0.4057392,0.1884214,0.1988115,0.2932437,0.2935352
0.199695,0.05217959,0.052179587,0.01757777,0.2371686,0.2371686,0.1832127,0.04304083,0.02635867,0.3769374,0.4057392,0.1884214,0.1988115,0.2932437,0.2935352
0.199971,0.04910938,0.049109386,0.016770537,0.2371686,0.2371686,0.1832127,0.04175539,0.02574631,0.3769374,0.4057392,0.1884214,0.1988115,0.2932437,0.2935352
0.200197,0.04910938,0.049109386,0.016770537,0.2371686,0.2371686,0.1832127,0.04175539,0.02574631,0.3790185,0.4117897,0.1884214,0.1988115,0.2932437,0.2935352
0.200424,0.04883953,0.048839532,0.016272324,0.2371686,0.2371686,0.1832127,0.04175539,0.02574631,0.3790185,0.4117897,0.1889413,0.2018321,0.2932437,0.2935352
0.200634,0.04883953,0.048839532,0.016272324,0.2371686,0.2371686,0.1832127,0.04175539,0.02574631,0.3790185,0.4117897,0.1889413,0.2018321,0.2927524,0.2934044
0.283654,0.04883953,0.048839532,0.016272324,0.2339231,0.2339231,0.1764909,0.04175539,0.02574631,0.3790185,0.4117897,0.1889413,0.2018321,0.2927524,0.2934044
0.28394,0.04591187,0.045911872,0.016035357,0.2339231,0.2339231,0.1764909,0.04048455,0.02555816,0.3790185,0.4117897,0.1889413,0.2018321,0.2927524,0.2934044
0.284185,0.04591187,0.045911872,0.016035357,0.2339231,0.2339231,0.1764909,0.04048455,0.02555816,0.3809791,0.4151098,0.1889413,0.2018321,0.2927524,0.2934044
0.284429,0.04556748,0.045567481,0.015809727,0.2339231,0.2339231,0.1764909,0.04048455,0.02555816,0.3809791,0.4151098,0.1896539,0.2032672,0.2927524,0.2934044
0.284645,0.04556748,0.045567481,0.015809727,0.2339231,0.2339231,0.1764909,0.04048455,0.02555816,0.3809791,0.4151098,0.1896539,0.2032672,0.2921169,0.2933203
0.367912,0.04556748,0.045567481,0.015809727,0.230856,0.230856,0.1705023,0.04048455,0.02555816,0.3809791,0.4151098,0.1896539,0.2032672,0.2921169,0.2933203
0.368192,0.04267854,0.042678543,0.015698328,0.230856,0.230856,0.1705023,0.0391802,0.02546795,0.3809791,0.4151098,0.1896539,0.2032672,0.2921169,0.2933203
0.368412,0.04267854,0.042678543,0.015698328,0.230856,0.230856,0.1705023,0.0391802,0.02546795,0.3827679,0.4171183,0.1896539,0.2032672,0.2921169,0.2933203
0.368639,0.0422666,0.042266597,0.015337801,0.230856,0.230856,0.1705023,0.0391802,0.02546795,0.3827679,0.4171183,0.1905759,0.2056423,0.2921169,0.2933203
0.368849,0.0422666,0.042266597,0.015337801,0.230856,0.230856,0.1705023,0.0391802,0.02546795,0.3827679,0.4171183,0.1905759,0.2056423,0.2928377,0.2932446
0.518458,0.0422666,0.042266597,0.015337801,0.227193,0.227193,0.1673464,0.0391802,0.02546795,0.3827679,0.4171183,0.1905759,0.2056423,0.2928377,0.2932446
0.518731,0.03940688,0.039406878,0.015107915,0.227193,0.227193,0.1673464,0.03783154,0.02527637,0.3827679,0.4171183,0.1905759,0.2056423,0.2928377,0.2932446
0.518954,0.03940688,0.039406878,0.015107915,0.227193,0.227193,0.1673464,0.03783154,0.02527637,0.3848145,0.4173434,0.1905759,0.2056423,0.2928377,0.2932446
0.519179,0.03889918,0.038899176,0.014763501,0.227193,0.227193,0.1673464,0.03783154,0.02527637,0.3848145,0.4173434,0.1918155,0.2080272,0.2928377,0.2932446
0.519389,0.03889918,0.038899176,0.014763501,0.227193,0.227193,0.1673464,0.03783154,0.02527637,0.3848145,0.4173434,0.1918155,0.2080272,0.2935775,0.2931925
0.617093,0.03889918,0.038899176,0.014763501,0.2230997,0.2230997,0.1710098,0.03783154,0.02527637,0.3848145,0.4173434,0.1918155,0.2080272,0.2935775,0.2931925
0.634961,0.03598024,0.035980236,0.014538757,0.2230997,0.2230997,0.1710098,0.03638445,0.02508325,0.3848145,0.4173434,0.1918155,0.2080272,0.2935775,0.2931925
0.635238,0.03598024,0.035980236,0.014538757,0.2230997,0.2230997,0.1710098,0.03638445,0.02508325,0.3870437,0.4140466,0.1918155,0.2080272,0.2935775,0.2931925
0.63548,0.03544895,0.035448949,0.014361192,0.2230997,0.2230997,0.1710098,0.03638445,0.02508325,0.3870437,0.4140466,0.1932476,0.2093093,0.2935775,0.2931925
0.6357,0.03544895,0.035448949,0.014361192,0.2230997,0.2230997,0.1710098,0.03638445,0.02508325,0.3870437,0.4140466,0.1932476,0.2093093,0.2943092,0.2932209
0.718681,0.03544895,0.035448949,0.014361192,0.2195207,0.2195207,0.1854433,0.03638445,0.02508325,0.3870437,0.4140466,0.1932476,0.2093093,0.2943092,0.2932209
0.718953,0.03237186,0.032371862,0.01532656,0.2195207,0.2195207,0.1854433,0.03476946,0.02591259,0.3870437,0.4140466,0.1932476,0.2093093,0.2943092,0.2932209
0.71919,0.03237186,0.032371862,0.01532656,0.2195207,0.2195207,0.1854433,0.03476946,0.02591259,0.3891651,0.4049852,0.1932476,0.2093093,0.2943092,0.2932209
0.719422,0.03194431,0.031944312,0.015591888,0.2195207,0.2195207,0.1854433,0.03476946,0.02591259,0.3891651,0.4049852,0.1945365,0.2075207,0.2943092,0.2932209
0.719651,0.03194431,0.031944312,0.015591888,0.2195207,0.2195207,0.1854433,0.03476946,0.02591259,0.3891651,0.4049852,0.1945365,0.2075207,0.2950129,0.2935232
