Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.033608,0.9985902,0.998590193,1.703309011,0.2388882,0.2388882,0.2554146,0.1307561,0.1664941,0.3349779,0.302747,0.1308483,0.1275711,0.1844482,0.07498331
0.033835,1.035627,1.035627029,1.679839415,0.2388882,0.2388882,0.2554146,0.1331588,0.1653431,0.3349779,0.302747,0.1308483,0.1275711,0.1844482,0.07498331
0.034039,1.035627,1.035627029,1.679839415,0.2388882,0.2388882,0.2554146,0.1331588,0.1653431,0.3324623,0.2950274,0.1308483,0.1275711,0.1844482,0.07498331
0.034231,1.059022,1.059022345,1.559457038,0.2388882,0.2388882,0.2554146,0.1331588,0.1653431,0.3324623,0.2950274,0.1293949,0.1324035,0.1844482,0.07498331
0.034416,1.059022,1.059022345,1.559457038,0.2388882,0.2388882,0.2554146,0.1331588,0.1653431,0.3324623,0.2950274,0.1293949,0.1324035,0.1759352,0.07512112
0.101015,1.059022,1.059022345,1.559457038,0.2415697,0.2415697,0.2738793,0.1331588,0.1653431,0.3324623,0.2950274,0.1293949,0.1324035,0.1759352,0.07512112
0.101264,1.08969,1.089689772,1.392332198,0.2415697,0.2415697,0.2738793,0.1350731,0.1562323,0.3324623,0.2950274,0.1293949,0.1324035,0.1759352,0.07512112
0.101488,1.08969,1.089689772,1.392332198,0.2415697,0.2415697,0.2738793,0.1350731,0.1562323,0.3297555,0.2897775,0.1293949,0.1324035,0.1759352,0.07512112
0.101706,1.111515,1.111514781,1.329827109,0.2415697,0.2415697,0.2738793,0.1350731,0.1562323,0.3297555,0.2897775,0.1281183,0.1354794,0.1759352,0.07512112
0.101938,1.111515,1.111514781,1.329827109,0.2415697,0.2415697,0.2738793,0.1350731,0.1562323,0.3297555,0.2897775,0.1281183,0.1354794,0.166663,0.06416848
0.201022,1.111515,1.111514781,1.329827109,0.2444974,0.2444974,0.278884,0.1350731,0.1562323,0.3297555,0.2897775,0.1281183,0.1354794,0.166663,0.06416848
0.201271,1.138317,1.138317394,1.236907009,0.2444974,0.2444974,0.278884,0.1366919,0.1506752,0.3297555,0.2897775,0.1281183,0.1354794,0.166663,0.06416848
0.20149,1.138317,1.138317394,1.236907009,0.2444974,0.2444974,0.278884,0.1366919,0.1506752,0.3270202,0.2899523,0.1281183,0.1354794,0.166663,0.06416848
