Time,Focus,FocusReal,Focus Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.121178,1.290267,1.290266544,1.985357092,0.16393,0.16393,0.1542547,0.1567827,0.1511587,0.3380607,0.3712871,0.1380252,0.1072788,0.2154966,0.242134
0.122882,1.274109,1.274108779,1.962648531,0.16393,0.16393,0.1542547,0.155798,0.1502917,0.3380607,0.3712871,0.1380252,0.1072788,0.2154966,0.242134
0.123024,1.274109,1.274108779,1.962648531,0.16393,0.16393,0.1542547,0.155798,0.1502917,0.3428171,0.3747993,0.1380252,0.1072788,0.2154966,0.242134
0.123154,1.301602,1.301601586,1.910505717,0.16393,0.16393,0.1542547,0.155798,0.1502917,0.3428171,0.3747993,0.1365598,0.1087329,0.2154966,0.242134
0.123269,1.301602,1.301601586,1.910505717,0.16393,0.16393,0.1542547,0.155798,0.1502917,0.3428171,0.3747993,0.1365598,0.1087329,0.215297,0.2415088
0.123389,1.301602,1.301601586,1.910505717,0.1607265,0.1607265,0.1503894,0.155798,0.1502917,0.3428171,0.3747993,0.1365598,0.1087329,0.215297,0.2415088
0.12351,1.28836,1.288359516,1.896500137,0.1607265,0.1607265,0.1503894,0.1550034,0.1497398,0.3428171,0.3747993,0.1365598,0.1087329,0.215297,0.2415088
0.123632,1.28836,1.288359516,1.896500137,0.1607265,0.1607265,0.1503894,0.1550034,0.1497398,0.3471791,0.3778018,0.1365598,0.1087329,0.215297,0.2415088
0.123749,1.319781,1.319780618,1.869727891,0.1607265,0.1607265,0.1503894,0.1550034,0.1497398,0.3471791,0.3778018,0.1349244,0.1095086,0.215297,0.2415088
0.123859,1.319781,1.319780618,1.869727891,0.1607265,0.1607265,0.1503894,0.1550034,0.1497398,0.3471791,0.3778018,0.1349244,0.1095086,0.2149332,0.2375588
0.180943,1.319781,1.319780618,1.869727891,0.1586291,0.1586291,0.1496771,0.1550034,0.1497398,0.3471791,0.3778018,0.1349244,0.1095086,0.2149332,0.2375588
0.181063,1.308174,1.308173974,1.861652541,0.1586291,0.1586291,0.1496771,0.1543203,0.1494161,0.3471791,0.3778018,0.1349244,0.1095086,0.2149332,0.2375588
0.181166,1.308174,1.308173974,1.861652541,0.1586291,0.1586291,0.1496771,0.1543203,0.1494161,0.3508505,0.379492,0.1349244,0.1095086,0.2149332,0.2375588
0.181259,1.346655,1.34665538,1.891674438,0.1586291,0.1586291,0.1496771,0.1543203,0.1494161,0.3508505,0.379492,0.1329826,0.1086361,0.2149332,0.2375588
0.18135,1.346655,1.34665538,1.891674438,0.1586291,0.1586291,0.1496771,0.1543203,0.1494161,0.3508505,0.379492,0.1329826,0.1086361,0.215315,0.2373354
0.249286,1.346655,1.34665538,1.891674438,0.1574394,0.1574394,0.1507422,0.1543203,0.1494161,0.3508505,0.379492,0.1329826,0.1086361,0.215315,0.2373354
0.249491,1.335944,1.335943586,1.888512765,0.1574394,0.1574394,0.1507422,0.1537053,0.1492912,0.3508505,0.379492,0.1329826,0.1086361,0.215315,0.2373354
0.249657,1.335944,1.335943586,1.888512765,0.1574394,0.1574394,0.1507422,0.1537053,0.1492912,0.3539145,0.3794069,0.1329826,0.1086361,0.215315,0.2373354
0.249802,1.380264,1.380263585,1.935060864,0.1574394,0.1574394,0.1507422,0.1537053,0.1492912,0.3539145,0.3794069,0.1308302,0.1073215,0.215315,0.2373354
0.249944,1.380264,1.380263585,1.935060864,0.1574394,0.1574394,0.1507422,0.1537053,0.1492912,0.3539145,0.3794069,0.1308302,0.1073215,0.2164432,0.2372329
0.368008,1.380264,1.380263585,1.935060864,0.156583,0.156583,0.1526902,0.1537053,0.1492912,0.3539145,0.3794069,0.1308302,0.1073215,0.2164432,0.2372329
0.368275,1.370306,1.370306235,1.93403811,0.156583,0.156583,0.1526902,0.1531499,0.1492517,0.3539145,0.3794069,0.1308302,0.1073215,0.2164432,0.2372329
0.368507,1.370306,1.370306235,1.93403811,0.156583,0.156583,0.1526902,0.1531499,0.1492517,0.3566762,0.3789151,0.1308302,0.1073215,0.2164432,0.2372329
0.368728,1.418316,1.418315753,2.006809117,0.156583,0.156583,0.1526902,0.1531499,0.1492517,0.3566762,0.3789151,0.1285968,0.1053577,0.2164432,0.2372329
0.368945,1.418316,1.418315753,2.006809117,0.156583,0.156583,0.1526902,0.1531499,0.1492517,0.3566762,0.3789151,0.1285968,0.1053577,0.2177808,0.2372747
0.501896,1.418316,1.418315753,2.006809117,0.1558782,0.1558782,0.1550603,0.1531499,0.1492517,0.3566762,0.3789151,0.1285968,0.1053577,0.2177808,0.2372747
0.502282,1.409056,1.409055721,2.009921082,0.1558782,0.1558782,0.1550603,0.1526491,0.1493674,0.3566762,0.3789151,0.1285968,0.1053577,0.2177808,0.2372747
0.502523,1.409056,1.409055721,2.009921082,0.1558782,0.1558782,0.1550603,0.1526491,0.1493674,0.359239,0.3776033,0.1285968,0.1053577,0.2177808,0.2372747
0.502744,1.460136,1.460135912,2.059277262,0.1558782,0.1558782,0.1550603,0.1526491,0.1493674,0.359239,0.3776033,0.1263275,0.1040875,0.2177808,0.2372747
0.502957,1.460136,1.460135912,2.059277262,0.1558782,0.1558782,0.1550603,0.1526491,0.1493674,0.359239,0.3776033,0.1263275,0.1040875,0.2191522,0.2375032
0.619261,1.460136,1.460135912,2.059277262,0.1554606,0.1554606,0.1595251,0.1526491,0.1493674,0.359239,0.3776033,0.1263275,0.1040875,0.2191522,0.2375032
0.619523,1.451642,1.451642146,2.067917133,0.1554606,0.1554606,0.1595251,0.1522045,0.1496804,0.359239,0.3776033,0.1263275,0.1040875,0.2191522,0.2375032
0.619746,1.451642,1.451642146,2.067917133,0.1554606,0.1554606,0.1595251,0.1522045,0.1496804,0.3614999,0.3738348,0.1263275,0.1040875,0.2191522,0.2375032
0.619973,1.505234,1.505233731,2.063685192,0.1554606,0.1554606,0.1595251,0.1522045,0.1496804,0.3614999,0.3738348,0.1240582,0.1041941,0.2191522,0.2375032
0.620189,1.505234,1.505233731,2.063685192,0.1554606,0.1554606,0.1595251,0.1522045,0.1496804,0.3614999,0.3738348,0.1240582,0.1041941,0.2205326,0.2374161
0.685908,1.505234,1.505233731,2.063685192,0.1553453,0.1553453,0.1633173,0.1522045,0.1496804,0.3614999,0.3738348,0.1240582,0.1041941,0.2205326,0.2374161
0.686273,1.497505,1.497505207,2.072036803,0.1553453,0.1553453,0.1633173,0.1518133,0.149983,0.3614999,0.3738348,0.1240582,0.1041941,0.2205326,0.2374161
0.686509,1.497505,1.497505207,2.072036803,0.1553453,0.1553453,0.1633173,0.1518133,0.149983,0.3634164,0.3697148,0.1240582,0.1041941,0.2205326,0.2374161
0.686735,1.552716,1.552715519,2.027420309,0.1553453,0.1553453,0.1633173,0.1518133,0.149983,0.3634164,0.3697148,0.1218327,0.1053344,0.2205326,0.2374161
0.686952,1.552716,1.552715519,2.027420309,0.1553453,0.1553453,0.1633173,0.1518133,0.149983,0.3634164,0.3697148,0.1218327,0.1053344,0.2221322,0.2414546
0.78552,1.552716,1.552715519,2.027420309,0.155589,0.155589,0.1675272,0.1518133,0.149983,0.3634164,0.3697148,0.1218327,0.1053344,0.2221322,0.2414546
0.785787,1.545903,1.545902837,2.034182268,0.155589,0.155589,0.1675272,0.1514799,0.1502329,0.3634164,0.3697148,0.1218327,0.1053344,0.2221322,0.2414546
0.78602,1.545903,1.545902837,2.034182268,0.155589,0.155589,0.1675272,0.1514799,0.1502329,0.3649024,0.3647331,0.1218327,0.1053344,0.2221322,0.2414546
0.786329,1.600713,1.600713316,1.958331735,0.155589,0.155589,0.1675272,0.1514799,0.1502329,0.3649024,0.3647331,0.1197287,0.1073549,0.2221322,0.2414546
0.786544,1.600713,1.600713316,1.958331735,0.155589,0.155589,0.1675272,0.1514799,0.1502329,0.3649024,0.3647331,0.1197287,0.1073549,0.2243293,0.252651
0.869767,1.600713,1.600713316,1.958331735,0.1563182,0.1563182,0.1734587,0.1514799,0.1502329,0.3649024,0.3647331,0.1197287,0.1073549,0.2243293,0.252651
0.870102,1.594972,1.5949717,1.962366646,0.1563182,0.1563182,0.1734587,0.1512079,0.1503876,0.3649024,0.3647331,0.1197287,0.1073549,0.2243293,0.252651
0.870343,1.594972,1.5949717,1.962366646,0.1563182,0.1563182,0.1734587,0.1512079,0.1503876,0.365834,0.3581285,0.1197287,0.1073549,0.2243293,0.252651
0.870576,1.646536,1.646536268,1.860489083,0.1563182,0.1563182,0.1734587,0.1512079,0.1503876,0.365834,0.3581285,0.117839,0.110255,0.2243293,0.252651
0.870792,1.646536,1.646536268,1.860489083,0.1563182,0.1563182,0.1734587,0.1512079,0.1503876,0.365834,0.3581285,0.117839,0.110255,0.2273171,0.2673837
0.955074,1.646536,1.646536268,1.860489083,0.1573571,0.1573571,0.1763567,0.1512079,0.1503876,0.365834,0.3581285,0.117839,0.110255,0.2273171,0.2673837
0.955349,1.642082,1.642082272,1.868822013,0.1573571,0.1573571,0.1763567,0.1510033,0.150724,0.365834,0.3581285,0.117839,0.110255,0.2273171,0.2673837
0.955575,1.642082,1.642082272,1.868822013,0.1573571,0.1573571,0.1763567,0.1510033,0.150724,0.3663726,0.3541892,0.117839,0.110255,0.2273171,0.2673837
0.955805,1.690124,1.690124151,1.78801717,0.1573571,0.1573571,0.1763567,0.1510033,0.150724,0.3663726,0.3541892,0.1161521,0.1127189,0.2273171,0.2673837
0.956043,1.690124,1.690124151,1.78801717,0.1573571,0.1573571,0.1763567,0.1510033,0.150724,0.3663726,0.3541892,0.1161521,0.1127189,0.2303375,0.2676412
1.104559,1.690124,1.690124151,1.78801717,0.1585304,0.1585304,0.1772134,0.1510033,0.150724,0.3663726,0.3541892,0.1161521,0.1127189,0.2303375,0.2676412
1.104883,1.686646,1.686646177,1.793416979,0.1585304,0.1585304,0.1772134,0.1508478,0.1509514,0.3663726,0.3541892,0.1161521,0.1127189,0.2303375,0.2676412
1.105115,1.686646,1.686646177,1.793416979,0.1585304,0.1585304,0.1772134,0.1508478,0.1509514,0.3666883,0.3525501,0.1161521,0.1127189,0.2303375,0.2676412
1.105332,1.732887,1.732886571,1.762630749,0.1585304,0.1585304,0.1772134,0.1508478,0.1509514,0.3666883,0.3525501,0.1145919,0.113699,0.2303375,0.2676412
1.105561,1.732887,1.732886571,1.762630749,0.1585304,0.1585304,0.1772134,0.1508478,0.1509514,0.3666883,0.3525501,0.1145919,0.113699,0.2333876,0.2678751
1.188494,1.732887,1.732886571,1.762630749,0.1599411,0.1599411,0.1808437,0.1508478,0.1509514,0.3666883,0.3525501,0.1145919,0.113699,0.2333876,0.2678751
1.188771,1.730203,1.730203177,1.768004417,0.1599411,0.1599411,0.1808437,0.150731,0.1511813,0.3666883,0.3525501,0.1145919,0.113699,0.2333876,0.2678751
1.189014,1.730203,1.730203177,1.768004417,0.1599411,0.1599411,0.1808437,0.150731,0.1511813,0.3667222,0.3498545,0.1145919,0.113699,0.2333876,0.2678751
1.189247,1.777069,1.777069366,1.806240038,0.1599411,0.1599411,0.1808437,0.150731,0.1511813,0.3667222,0.3498545,0.1130708,0.1124891,0.2333876,0.2678751
1.203004,1.777069,1.777069366,1.806240038,0.1599411,0.1599411,0.1808437,0.150731,0.1511813,0.3667222,0.3498545,0.1130708,0.1124891,0.2364695,0.2682031
1.305586,1.777069,1.777069366,1.806240038,0.1617567,0.1617567,0.1882335,0.150731,0.1511813,0.3667222,0.3498545,0.1130708,0.1124891,0.2364695,0.2682031
1.305858,1.775474,1.7754742,1.816956304,0.1617567,0.1617567,0.1882335,0.1506633,0.1516291,0.3667222,0.3498545,0.1130708,0.1124891,0.2364695,0.2682031
1.306161,1.775474,1.7754742,1.816956304,0.1617567,0.1617567,0.1882335,0.1506633,0.1516291,0.3663071,0.344747,0.1130708,0.1124891,0.2364695,0.2682031
1.311286,1.822303,1.822303307,1.900010892,0.1617567,0.1617567,0.1882335,0.1506633,0.1516291,0.3663071,0.344747,0.1116085,0.110003,0.2364695,0.2682031
1.31156,1.822303,1.822303307,1.900010892,0.1617567,0.1617567,0.1882335,0.1506633,0.1516291,0.3663071,0.344747,0.1116085,0.110003,0.2395948,0.2687522
1.37046,1.822303,1.822303307,1.900010892,0.1637359,0.1637359,0.1925782,0.1506633,0.1516291,0.3663071,0.344747,0.1116085,0.110003,0.2395948,0.2687522
1.370731,1.822485,1.822485346,1.925857502,0.1637359,0.1637359,0.1925782,0.1506709,0.152657,0.3663071,0.344747,0.1116085,0.110003,0.2395948,0.2687522
