Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.177966,0.6430441,0.643044129,0.594341257,0.1657537,0.1657537,0.1597252,0.1070269,0.10615,0.3697072,0.3738198,0.1334666,0.1376899,0.1193989,0.07193192
0.181059,0.6528794,0.652879424,0.590004193,0.1657537,0.1657537,0.1597252,0.1078423,0.105762,0.3697072,0.3738198,0.1334666,0.1376899,0.1193989,0.07193192
0.181268,0.6528794,0.652879424,0.590004193,0.1657537,0.1657537,0.1597252,0.1078423,0.105762,0.3686714,0.3741541,0.1334666,0.1376899,0.1193989,0.07193192
0.181423,0.6557549,0.65575486,0.587189247,0.1657537,0.1657537,0.1597252,0.1078423,0.105762,0.3686714,0.3741541,0.1331736,0.1380195,0.1193989,0.07193192
0.181563,0.6557549,0.65575486,0.587189247,0.1657537,0.1657537,0.1597252,0.1078423,0.105762,0.3686714,0.3741541,0.1331736,0.1380195,0.1141822,0.07158762
0.181702,0.6557549,0.65575486,0.587189247,0.1661171,0.1661171,0.1588088,0.1078423,0.105762,0.3686714,0.3741541,0.1331736,0.1380195,0.1141822,0.07158762
0.181842,0.6645845,0.664584448,0.587157231,0.1661171,0.1661171,0.1588088,0.1085659,0.1057591,0.3686714,0.3741541,0.1331736,0.1380195,0.1141822,0.07158762
0.181985,0.6645845,0.664584448,0.587157231,0.1661171,0.1661171,0.1588088,0.1085659,0.1057591,0.3677702,0.3740343,0.1331736,0.1380195,0.1141822,0.07158762
0.182136,0.665674,0.665674002,0.586115568,0.1661171,0.1661171,0.1588088,0.1085659,0.1057591,0.3677702,0.3740343,0.1330646,0.1381421,0.1141822,0.07158762
0.182274,0.665674,0.665674002,0.586115568,0.1661171,0.1661171,0.1588088,0.1085659,0.1057591,0.3677702,0.3740343,0.1330646,0.1381421,0.1092408,0.07154572
0.182422,0.665674,0.665674002,0.586115568,0.1664263,0.1664263,0.1634971,0.1085659,0.1057591,0.3677702,0.3740343,0.1330646,0.1381421,0.1092408,0.07154572
0.182569,0.6718841,0.671884092,0.583221099,0.1664263,0.1664263,0.1634971,0.1090711,0.1054977,0.3677702,0.3740343,0.1330646,0.1381421,0.1092408,0.07154572
0.18271,0.6718841,0.671884092,0.583221099,0.1664263,0.1664263,0.1634971,0.1090711,0.1054977,0.3669824,0.3703203,0.1330646,0.1381421,0.1092408,0.07154572
0.182858,0.670926,0.670925952,0.594921969,0.1664263,0.1664263,0.1634971,0.1090711,0.1054977,0.3669824,0.3703203,0.1331596,0.1367769,0.1092408,0.07154572
0.183003,0.670926,0.670925952,0.594921969,0.1664263,0.1664263,0.1634971,0.1090711,0.1054977,0.3669824,0.3703203,0.1331596,0.1367769,0.1043136,0.07434745
0.294683,0.670926,0.670925952,0.594921969,0.1667444,0.1667444,0.164966,0.1090711,0.1054977,0.3669824,0.3703203,0.1331596,0.1367769,0.1043136,0.07434745
0.294886,0.6713104,0.671310342,0.599496193,0.1667444,0.1667444,0.164966,0.1091023,0.1059024,0.3669824,0.3703203,0.1331596,0.1367769,0.1043136,0.07434745
0.295079,0.6713104,0.671310342,0.599496193,0.1667444,0.1667444,0.164966,0.1091023,0.1059024,0.3665591,0.3681016,0.1331596,0.1367769,0.1043136,0.07434745
0.295235,0.6683146,0.668314597,0.607626242,0.1667444,0.1667444,0.164966,0.1091023,0.1059024,0.3665591,0.3681016,0.1334577,0.1358588,0.1043136,0.07434745
0.295386,0.6683146,0.668314597,0.607626242,0.1667444,0.1667444,0.164966,0.1091023,0.1059024,0.3665591,0.3681016,0.1334577,0.1358588,0.1000915,0.07710956
0.35908,0.6683146,0.668314597,0.607626242,0.1664416,0.1664416,0.1637529,0.1091023,0.1059024,0.3665591,0.3681016,0.1334577,0.1358588,0.1000915,0.07710956
0.359274,0.657452,0.657451994,0.613193073,0.1664416,0.1664416,0.1637529,0.108212,0.1063865,0.3665591,0.3681016,0.1334577,0.1358588,0.1000915,0.07710956
0.359422,0.657452,0.657451994,0.613193073,0.1664416,0.1664416,0.1637529,0.108212,0.1063865,0.3675136,0.3682205,0.1334577,0.1358588,0.1000915,0.07710956
0.359571,0.6536441,0.653644083,0.623414334,0.1664416,0.1664416,0.1637529,0.108212,0.1063865,0.3675136,0.3682205,0.1338459,0.1347404,0.1000915,0.07710956
0.359719,0.6536441,0.653644083,0.623414334,0.1664416,0.1664416,0.1637529,0.108212,0.1063865,0.3675136,0.3682205,0.1338459,0.1347404,0.09567687,0.06786538
0.4818,0.6536441,0.653644083,0.623414334,0.1659365,0.1659365,0.1638034,0.108212,0.1063865,0.3675136,0.3682205,0.1338459,0.1347404,0.09567687,0.06786538
0.482167,0.6438264,0.643826414,0.608266761,0.1659365,0.1659365,0.1638034,0.1073963,0.105086,0.3675136,0.3682205,0.1338459,0.1347404,0.09567687,0.06786538
0.482502,0.6438264,0.643826414,0.608266761,0.1659365,0.1659365,0.1638034,0.1073963,0.105086,0.3685015,0.3704276,0.1338459,0.1347404,0.09567687,0.06786538
0.482849,0.6416806,0.641680602,0.650230144,0.1659365,0.1659365,0.1638034,0.1073963,0.105086,0.3685015,0.3704276,0.1340695,0.1303201,0.09567687,0.06786538
0.483178,0.6416806,0.641680602,0.650230144,0.1659365,0.1659365,0.1638034,0.1073963,0.105086,0.3685015,0.3704276,0.1340695,0.1303201,0.09142812,0.06754388
0.567141,0.6416806,0.641680602,0.650230144,0.1654502,0.1654502,0.163064,0.1073963,0.105086,0.3685015,0.3704276,0.1340695,0.1303201,0.09142812,0.06754388
0.567455,0.6332092,0.633209237,0.622049886,0.1654502,0.1654502,0.163064,0.106685,0.1027837,0.3685015,0.3704276,0.1340695,0.1303201,0.09142812,0.06754388
0.56774,0.6332092,0.633209237,0.622049886,0.1654502,0.1654502,0.163064,0.106685,0.1027837,0.3694023,0.3746835,0.1340695,0.1303201,0.09142812,0.06754388
